OBJECTID,SectorCod,Codigo,ComplejoNombre,DistritoNombre,SectorNombre,ComplejoCodigo,DistritoCodigo,AreaHa,ActoAdministrativo,ObjetoCodigo,Shape__Area,Shape__Length
49,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,11287.849924,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-8,112878499.238464,133632.661234418
50,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,983.80612984,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-9,9838061.30700684,27969.2710268042
51,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,561.46041497,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-7,5614604.14855957,27700.0872184248
52,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,563.77317794,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-10,5637731.77941895,17273.7431607514
53,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,312.45253007,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-6,3124525.30450439,23941.4812586875
54,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,72.70164291,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-11,727016.427429199,4611.73184161163
55,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,10.25692011,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-12,102569.201416016,1666.86276546436
56,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,945.95840096,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-5,9459584.00982666,36406.4447588121
57,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,493.00258208,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-4,4930025.82275391,21370.0515694761
58,CE,CE-CM-CHG,Páramo de Chingaza,Cundinamarca,Cordillera Oriental,CHG,CM,1296.12344464,Resolución MADS 0710 del 26 de mayo de 2016,CE-CM-CHG-13,12961234.4459229,44199.38249438
